Date,Shoe ID,pre1,pre2,pre3,pre4,pre5,avg_pre,Date,post1,post2,post3,post4,post5,avg_post,post-pre
28-June,R60,354.139,354.146,354.136,354.140,354.138,354.140,21-Jan,351.069,351.089,351.092,351.094,351.098,351.088,-3.051
28-June,L61,351.181,351.166,351.167,351.164,351.170,351.170,9-Jan,349.168,349.170,349.179,349.173,349.173,349.173,-1.997
28-June,R61,354.944,354.935,354.946,354.942,354.949,354.943,9-Jan,352.833,352.829,352.830,352.827,352.829,352.830,-2.114
28-June,L62,352.761,352.744,352.752,352.741,352.760,352.752,21-Jan,350.409,350.416,350.412,350.419,350.418,350.415,-2.337
28-June,R62,359.854,359.857,359.856,359.869,359.861,359.859,21-Jan,358.168,358.176,358.179,358.184,358.186,358.179,-1.681
28-June,L63,356.146,356.152,356.148,356.152,356.161,356.152,,,,,,,#DIV/0!,#DIV/0!
28-June,R63,353.178,353.181,353.181,353.183,353.196,353.184,,,,,,,#DIV/0!,#DIV/0!
17-July,L64,232.974,232.978,232.977,232.979,232.975,232.977,21-Jan,232.196,232.200,232.203,232.204,232.207,232.202,-0.775
17-July,R64,233.011,233.014,233.011,233.016,233.015,233.013,21-Jan,232.189,232.182,232.192,232.190,232.192,232.189,-0.824
17-July,L65,233.661,233.657,233.656,233.656,233.660,233.658,9-Jan,230.852,230.852,230.851,230.849,230.849,230.851,-2.807
17-July,R65,233.599,233.603,233.601,233.600,233.594,233.599,9-Jan,230.345,230.348,230.346,230.346,230.345,230.346,-3.253
17-July,L66,236.057,236.055,236.064,236.060,236.055,236.058,9-Jan,233.640,233.640,233.640,233.639,233.641,233.640,-2.418
17-July,R66,234.972,234.973,234.975,234.969,234.972,234.972,9-Jan,233.136,233.138,233.137,233.137,233.131,233.136,-1.836
17-July,L67,231.577,231.573,231.571,231.572,231.568,231.572,9-Jan,228.609,228.608,228.607,228.610,228.609,228.609,-2.964
17-July,R67,234.361,234.365,234.364,234.365,234.366,234.364,9-Jan,231.724,231.719,231.723,231.724,231.724,231.723,-2.641
17-July,L68,233.885,233.880,233.879,233.881,233.883,233.882,,,,,,,#DIV/0!,#DIV/0!
17-July,R68,231.919,231.918,231.916,231.917,231.920,231.918,,,,,,,#DIV/0!,#DIV/0!
17-July,L69,364.529,364.516,364.520,365.522,364.521,364.722,,,,,,,#DIV/0!,#DIV/0!
17-July,R69,370.798,370.802,370.804,370.805,370.804,370.803,,,,,,,#DIV/0!,#DIV/0!
17-July,L70,371.522,371.521,371.522,371.523,371.524,371.522,9-Jan,368.407,368.405,368.405,368.403,368.407,368.405,-3.117
17-July,R70,366.678,366.685,366.677,366.691,366.689,366.684,9-Jan,363.517,363.515,363.519,363.521,363.518,363.518,-3.166
17-July,L71,377.858,377.848,377.853,377.856,377.860,377.855,9-Jan,374.487,374.494,374.492,374.493,374.492,374.492,-3.363
17-July,R71,370.131,370.128,370.118,370.130,370.128,370.127,9-Jan,366.462,366.462,366.461,366.458,366.458,366.460,-3.667
17-July,L72,375.246,375.245,375.243,375.245,375.242,375.244,,,,,,,#DIV/0!,#DIV/0!
17-July,R72,370.326,370.329,370.332,370.326,370.329,370.328,,,,,,,#DIV/0!,#DIV/0!
17-July,L73,374.166,374.158,374.161,374.163,374.162,374.162,,,,,,,#DIV/0!,#DIV/0!
17-July,R73,377.629,377.633,377.629,377.630,377.634,377.631,,,,,,,#DIV/0!,#DIV/0!
14-August,L75,340.117,340.114,340.114,340.116,340.117,340.116,9-Jan,338.973,338.972,338.973,338.977,338.975,338.974,-1.142
14-August,R75,346.738,346.742,346.741,346.740,346.738,346.740,9-Jan,345.571,345.580,345.577,345.573,345.575,345.575,-1.165
14-August,L76,340.595,340.597,340.593,340.594,340.592,340.594,,,,,,,#DIV/0!,#DIV/0!
14-August,R76,340.390,340.391,340.393,340.391,340.389,340.391,,,,,,,#DIV/0!,#DIV/0!
14-August,L77,345.711,345.713,345.707,345.712,345.711,345.711,,,,,,,#DIV/0!,#DIV/0!
14-August,R77,339.837,339.840,339.839,339.838,339.833,339.837,,,,,,,#DIV/0!,#DIV/0!
14-August,L78,347.033,347.036,347.039,347.040,347.039,347.037,9-Jan,346.208,346.209,346.206,346.210,346.209,346.208,-0.829
14-August,R78,341.651,341.653,341.657,341.651,341.650,341.652,9-Jan,340.574,340.570,340.572,340.572,340.568,340.571,-1.081
14-August,L79,342.581,342.584,342.583,342.582,342.577,342.581,21-Jan,341.698,341.691,341.698,341.697,341.697,341.696,-0.885
14-August,R79,341.835,341.835,341.837,341.836,341.835,341.836,21-Jan,341.997,341.008,341.002,341.006,341.002,341.203,-0.633
